"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,18,79,76,0,0,0,65,5,0,0,19,0,0,0,0,0,0,0,61,0,0,0,0,0,0,97,12,36,0,0,0,0,0,0,0,70,0,0,30,0,0,11,96,0,0,0,0,22,28,0,12,0,0,0,0,0,0,63,1,0,21,5,0,0,0,31,0,81,0,100,94,0,0,0,0,0,0,0,0,0,0,27,67,0,97,35,0,0,0,0,0,0,0,0,85,0,0,24,0,93,0,0,16,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,34,20,0,0,0,0,58,0,0,0,0,0,0,0,52,0,0,0,0,32,67,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,76,97,0,19,18,0,0,0,0,0,46,53,0,41,100,0,0,0,0,0,0,0,27,0,0,0,0,0,0,49,0,0,0,0,27,0,0,13,0,0,0,0,0,0,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,69,0,0,0,0,0,0,14,98,0,0,19,0,0,0,49,0,75,0,1,0,0,0,0,0,0,32,30,0,0,0,14,0,0,0,0,22,99,31,40,0,0,57,0,0,0,0,33,27,0,0,19,0,0,0,0,0,0,80,0,0,68,0,0,0,0,0,0,0,0,0,42,0,0,49,0,0,0,0,0,0,0,4,0,0,0,68,0,0,0,0,0,39,0,11,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,50,0,3,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,93,0,100,0,60,0,0,0,0,0,0,0,0,0,56,46,0,0,0,0,0,0,81,0,0,0,70,0,0,30,57,2,0,0,0,0,64,0,0,0,0,0,0,0,95,13,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,33,0,0,92,0,0,0,0,87,87,85,0,0,9,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,29,0,100,0,0,0,37,0,0,90,0,0,52,0,0,0,3,0,25,82,0,76,10,0,0,0,0,0,0,90,0,0,0,0,18,0,16,26,2,0,0,0,0,0,0,4,72,0,0,93,0,0,0,72,7,14,0,91,0,0,0,0,0,0,9,25,0,0,0,62,0,0,0,58,0,40,0,49,95,6,0,96,0,0,0,88,0,0,0,0,56,4,35,0,71
"14",0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,11,78,41,0,53,0,0,78,0,0,90,0,7,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,62,0,0,0,88,0,0,74,0,78,64,0,68,84,87,0,0,0,0,6,0,100,0,0,0,73,0,0,0,0,0,6,0,0,0,2,0,0,3,37,0,0,0,0,17,0,0,0,0,0,0,73,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,20,0,93,0,0,0,0,30,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,63,0,62,0,0,0,2,0,0,71,1,0,66,0,42,0,0,0,0,32,0,66,0,0,18,0,0,87,0,0,8,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,96,0,0,0,30,0,0,0,16
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,78,51,0,0,0,0,0,0,0,0,75,61,0,0,0,0,0,7,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,51,53,0,40,0,0,0,0,47,0,0,0,0,0,0,0,100,0,0,0,0,31,0,0,0,0,0,57,93,0,0,0,0,51,69,0,0,0,0,0,0,0,2,3,0,77,0,0,49,0,0,25,91,94,0,0,0,87,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,67,0,50,0,0,0,0,0,0,0,6,0,0,85,77,0,0,35,0,23,0,0,74,0,0,80,40,8,0,0,0,98,83,0,0,0,84,0,0,0,0,0,45,84,0,0,38,0,0,0,0,36,2,35,0,0,0,0,0,24,7,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,7,0,52,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,78,57,45,0,0,0,0,86,0,0,0,82,0,0,0,0,53,0,15,40,0,58,4,0,0,0,0,0,0,0,0,84,0,0,0,0,0,55,29,56,20,0,90,44,0,79,30,0,2,0,0,0,0,0,0,0,0,47,0,52,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,6,81,17,0,55,0,0,0,0,60,43,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,41,0,0,40,0,0,0,0,0,0,0,0,89,0,0,0,0,0,35,0,70,0,0,0,0,0,52,83,0,0,0,11,86,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,13,0,6,0,0,62,66,0,0,0,94,0,0,0,9,0,0,0,11,0,0,0,0,85,0,0,0,0,71,0,0,79,0,0,39,0,0,0,0,69,28,0,0,0,0,0,95,28,0,0,0,0,62,0,0,0,18,73,0,11,0,0,0,0,0,40,0,0,0,0,0,0,0,46,55,0,0,0,0,0,0,0,26,0,86,29,93,0,0,0,47,0,51,0,0,0,0,0,0,0,0,0,0,0,0,62,0,89,13,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,8,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,79,0,0,61,0,0,0,73,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,47,92
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,7,0,0,39,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,28,0,23,84,0,64,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,92,0,11,0,0,0,0,0,0,34,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1,0,0,80,0,26,0,0,0,0,57,0,68,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,85,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,77,0,39,0,0,0,36,90,0,88,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,39
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,58,0,98,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,82,0,20,0,0,0,0,0,62,51,71,18,36,0,15,0,0,0,29,0,0,31,0,50,0,0,0,0,0,0,0,0,86,0,6,15,99,8,6,0,0,0,8,0,0,71,0,0,0,29,87,0,0,0,0,39,0,22,0,0,0,3,87,44,0,0,0,0,11,0,0,57,0,0,0,0,0,18,16,0,17,88,0,45,0,0,0,0,0,61,0,0,11,0,23,0,0,0,0,0,85,0,69,0,0,0,0,0,0,22,16,0,0,0,58,0,0,91,0,0,0,0,52,88,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,41,0,0,41
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,78,0,40,0,82,0,75,0,0,0,0,0,92,0,0,0,85,85,0,0,55,0,0,93,0,26,0,16,0,0,35,17,0,0,0,92,0,0,0,0,0,20,0,0,0,0,0,0,0,0,67,0,0,0,0,46,0,0,0,0,0,5,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,65,0,0,0,5,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,21,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,67,25,0,0,0,0,0,0,0,0,0,0,95,55,48,0,0,0,0,0,98,0,48,0,0,0,0,0,79,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,95,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,18,0,70,18,0,88,0,0,0,0,0,82,0,0,0,0,0,0,61,86,0,0,58,0,0,0,0,0,0,55,35,0,0,0,0,0,0,0,49,0,0,25,0,0,0,0,0,60,13,0,14,43,0,31,41,53,0,0,0,62,48,0,0,0,0,0,0,0,0,92,0,2,53,0,71,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,99,78,0,0,27,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,27,0,0,0,0,0,66,0,0,0,97,0,0,0,1,50,12,0,0,0,0,0,0,0,0,6,0,0,0,0,88,0,51,0,62,0,89,0,0,0,0,0,0,33,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,42,0,0,51,0,76,0,0,0,0,21,0,93,2,0,0,0,0,0,0,0,16,0,38,62,79,94,0,5,14,0,7,0,0,0,45,0,0,0,0,17,0,0,0,92,0,70,0,0,58,0,0,0,0,0,0,0,38,7,21,37,0,0,55,0,57,3,55,0,0,0,44,0,0,0,0,0,0,0,56,0,0,0,0,0,0,27,0,0,0,0,0,97,0,0,52,0,33,0,21,57,0,39,61,0,49,0,0,0,42,0,0,71,0,15,46,63,17,0,0,0,0,0,0,0,0,0,31,0,0,0,88,0,0,12,0,23,0,89,0,0,6,0,0,0,0,0,0,65,0,0,0,0,0,0,0,25,0,22,0,0,0,88,0,70,73,0,0,65,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,87,0,0,0,0,25,10,0,0,0,83,80,0,0,0,0,0,71,0,0,0,0,0,0,0,87,0,0,0,0,0,0,86,0,32,76,0,60,78,37,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,41,52,0,0,0,0,0,0,0,35,0,0,0,18,0,0,0,0,0,0,0,0,13,0,0,0,0,100,0,0,78,0,0,0,0,0,0,0,0,0,0,0,51,0,0,46,0,0,14,72,0,0,0,0,0,0,0,0,0,0,27,0,97,88,0,78,5,0,0,0,0,33,0,0,69,0,0,0,0,0,0,5,0,0,39,0,0,73,85,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,77,0,0,58,0,0,0,78,0,0,15,0,0,0,0,0,30,0,24,92,0,37,0,0,0,0,0,35,73,0,0,97,0,0,66,0,0,78,0,0,17,0,0,0,15,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,88,0,0,0,0,0,53,0,38,0,0,76,15,0,0,0,9,0,0,0,0,0,29,0,0,0,30,0,0,34,0,0,0,0,0,55,95,59,0,88,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,3,0,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,49,0,35,0,0,5,0,41,97,66,0,0,0,0,0,0,0,0,0,0,52,0,2,7,79,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,45,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,96,0,0,0,0,0,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,68,0,60,0,0,0,74,0,0,0,0,96,0,0,0,0,0,47,0,0,0,0,99,0,0,0,30,0,1,0,0,85,0,0,46,0,48,0,0,31,0,0,0,0,24,0,0,69,0,0,0,0,0,0,0,0,0,0,68,51,20,53,0,0,0,0,28,0,0,20,0,0,0,0,82,0,83,0,61,66,0,0,43,0,0,0,0,0,0,0,52,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,59,0,0,0,0,0,0,52,64,0,0,0,0,31,0,0,0,0,0,0,9,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,90,0,0,0,26,0,0,0,56,0,0,0,62,0,0,0,0,44,0,0,8,0,0,0,0,0,78,0,0,0,0,26,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,23,0,26,82,0,0,0,0,0,0,0,0,0,66,0,0,0,0,92,0,0,72,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,67,0,0,0,0,0,21,0,0,18,0,0,0,0,96,0,0,0,30,98,0,0,0,0,0,0,63,0,97,0,0,0,0,85,0,0,100,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,25,27,0,99,40,0,0,0,0,23,0,0,0,0,0,60,47,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,84,0,29,0,0,0,0,0,0,0,91,87,19,0,0,0,0,0,85,59,0,43,0,0,0,73,26,0,63,0,0,0,0,51,0,0,0,0,94,0,0,0,0,0,0,0,0,17,0,0,0,0,0,40,0,0,88,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,10,67,75,0,0,0,24,0,92,0,0,75,0,0,0,77,48,0,0,0,0,2,0,0,61,98,0,0,54,0,0,0,0,37,0,0,0,0,47,0,0,0,0,0,0,37,0,0,0,0,35
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,97,0,0,0,0,45,0,70,0,0,0,94,31,90,0,0,0,82,0,0,0,0,0,51,0,0,0,0,86,13,0,92,0,0,0,0,2,30,0,37,43,0,0,0,0,0,0,0,0,0,0,0,99,0,72,2,0,0,0,0,53,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,39,0,0,16,0,53,0,0,0,0,0,0,89,0,0,98,0,54,0,0,41,0,74,0,0,72,0,0,0,0,0,0,0,59,0,36,0,0,0,58,0,0,0,0,92,0,0,0,0,45,0,0,0,59,0,0,39,0,0,0,0,0,0,0,0,12,0,0,0,18,0,0,0,69,0,0,0,7,0,0,88,0,89,24,66,49,0,0,0,20,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,14,0,72,0,0,14,0,0,0,0,0,0,0,0,48,0,0,0,0,68,69,0,0,0,71,0,100,79,0,0,0,23,0,0,0,55,0,0,0,0,0,0,0,35,0,0,14,0,0,0,65,31,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,41,0,81,24,0,0,0,91,0,0,0,0,0,55,0,0,0,0,0,0,0,100,49,87,0,0,0,0,0,0,0,71,0,0,63,90,66,0,0,0,64,0,0,0,0,0,0,0,0,0,71,0,98,0,0,0,0,48,0,0,0,40,52,89,0,0,24,0,0,0,0,99,0,72,0,0,14,0,0,88,0,0,0,0,0,0,0,99,0,52,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,65,3,0,9,54,0,0,21,0,19,0,0,13,0,0,0,61,0,0,0,20,0,0,0,0,0,0,0,0,10,51,0,81,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,86,13,0,73,0,0,75,0,0,3,94,0,0,4,0,0,49,0,0,34,0,78,0,0,0,0,0,0,0,20,11,71,70,16,60,15,0,0,0,51,0,0,45,0,0,63,0,0,0,0,98,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,79,0,45,0,0,56,0,0,73,25,0,0,0,0,60,86,0,0,17,0,62,28,0,0,96,0,36,0,0,0,81,0,0,0,0,0,0,0,0,58,40,0,18
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,72,0,99,63,0,27,0,0,85,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,82,0,0,93,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,66,0,0,0,0,69,0,55,0,0,29,0,0,0,0,0,0,0,92,0,89,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,9,0,0,29,35,0,49,0,0,0,25,1,0,0,0,81,0,24,0,0,63,77,0,0,0,9,0,0,22,56,0,1,0,0,0,0,0,0,0,90,68,0,0,1,23,0,17,69,0,0,0,0,0,58,55,37,0,0,6,84,0,71,0,0,0,52,0,0,0,0,28,0
